,,,,,,,,,,,CTDPH,2015 Based Population Forecasts,,,
159,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1432,1484,1588,1690,1790
160,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1802,1868,1999,2127,2253
161,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1239,1285,1375,1463,1549
162,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3758,3896,4169,4436,4699
163,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,5548,5751,6154,6548,6936
164,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,4181,4335,4638,4935,5227
165,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,861,893,955,1017,1077
166,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3701,3837,4105,4368,4627
167,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3968,4114,4402,4684,4962
168,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2710,2810,3007,3199,3389
169,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3992,4139,4429,4713,4992
170,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1128,1170,1251,1332,1411
171,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2682,2781,2975,3166,3354
172,New Fairfield,9,90,Fairfield,111,WestCOG,1,HVMPO,2,,3498,3589,3769,3946,4120
173,New Fairfield,9,90,Fairfield,111,WestCOG,1,HVMPO,2,,4032,4137,4345,4548,4748
174,New Fairfield,9,90,Fairfield,111,WestCOG,1,HVMPO,2,,1413,1450,1523,1595,1665
175,New Fairfield,9,90,Fairfield,111,WestCOG,1,HVMPO,2,,1489,1528,1604,1679,1753
176,New Fairfield,9,90,Fairfield,111,WestCOG,1,HVMPO,2,,934,958,1007,1054,1100
177,New Fairfield,9,90,Fairfield,111,WestCOG,1,HVMPO,2,,2760,2832,2974,3113,3250
178,New Fairfield,9,90,Fairfield,111,WestCOG,1,HVMPO,2,,0,0,0,0,0
179,Sherman,10,127,Fairfield,117,WestCOG,1,HVMPO,2,,872,914,998,1080,1160
180,Sherman,10,127,Fairfield,117,WestCOG,1,HVMPO,2,,570,597,652,705,758
181,Sherman,10,127,Fairfield,117,WestCOG,1,HVMPO,2,,1154,1210,1321,1430,1537
182,Sherman,10,127,Fairfield,117,WestCOG,1,HVMPO,2,,1072,1125,1227,1328,1427
183,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,1780,1846,1977,2104,2230
184,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,1264,1311,1403,1494,1583
185,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,4122,4275,4576,4872,5162
186,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,3327,3451,3694,3932,4167
187,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,1320,1369,1465,1560,1653
188,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,1234,1279,1370,1458,1545
189,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,2371,2459,2632,2802,2969
190,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,2253,2336,2501,2662,2821
191,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,2043,2119,2268,2415,2559
192,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,1489,1544,1653,1759,1864
193,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,1036,1074,1150,1224,1297
194,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,1377,1428,1529,1628,1725
195,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,604,626,670,714,756
196,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,840,871,933,993,1052
197,New Milford,11,95,Litchfield,313,WestCOG,1,HVMPO,2,,2216,2298,2460,2619,2775
198,Kent,12,67,Litchfield,309,NHCOG,3,NHCOG,R,,1084,1102,1137,1171,1205
199,Kent,12,67,Litchfield,309,NHCOG,3,NHCOG,R,,686,697,719,741,762
200,Kent,12,67,Litchfield,309,NHCOG,3,NHCOG,R,,672,683,705,726,747
